Designator,Mid X,Mid Y,Layer,Rotation
"C1","24.5834mm","11.8081mm","Top",0
"C2","-6.8464mm","-18.1463mm","Top",90
"C3","4.8778mm","15.3456mm","Top",0
"C4","9.0156mm","10.2913mm","Top",270
"C6","-7.4929mm","23.9911mm","Top",0
"D1","-9.3145mm","4.8341mm","Top",0
"D2","-0.7658mm","-22.0307mm","Top",270
"D3","0.5042mm","2.2534mm","Top",0
"D4","-12.2429mm","-10.6821mm","Top",270
"J1","-20.693mm","-2.5329mm","Top",0
"LM386","-13.8828mm","13.3263mm","Top",0
"R1","-16.7803mm","23.9911mm","Top",0
"R2","-17.693mm","-13.1217mm","Top",270
"R3","8.1734mm","15.3456mm","Top",0
"R4","-26.993mm","-12.8646mm","Top",270
"R5","-3.4095mm","-3.3523mm","Top",0
"R6","-5.6512mm","-12.5802mm","Top",270
"R7","-11.4179mm","-5.7928mm","Top",0
"RV1","-10.5645mm","-25.6607mm","Top",0
"S1","-0.0071mm","-8.5908mm","Top",270
"SPK1","17.8784mm","-6.1967mm","Top",0
